ESCLAVA EP56-H264
26/10/2016

NdA	(générique de début)
Ambiance	(brouhaha : "Allez, debout, je ne le dirai pas deux fois ! En route ! Plus vite que ça !")

Félipé	Il est probable que le bain de sang ne s'arrête pas là.

Ana	Pourquoi tu dis ça ? (hhh\)

Félipé	(mts hh\) (hhh/)

Manuela	(pleure)

Félipé	(hhh\)

Manuela	(h\ hhh/)

Cacero	Dépêchez-vous !

Manuela	(hh\)

Ana	(hh\)

Manuela	(pleure_____) (gémit)(snif) (gémit___) (hh/)(pleure) (h\ hhh/) (pleure) (hh/) (pleure) Pas mon frère, pas mon frère... (pleure)

(BOUCLE 21 - 00:16:19:24)
		21

Miguel	(h\) Faites attention ici... (h\)  Le sol est glissant. (h\) Restez groupés. Ne vous dispersez pas. (h\) (h\) (boit__) (h\) (boit) (h\) Buvez de l'eau... pour préserver vos forces et continuer, mes frères. (hh/)

Noémi	On va continuer pour aller où, Miguel ? On ne sait pas où on est.

(BOUCLE 22 - 00:17:04:18)
		22

Miguel	Ecoutez-moi bien ! Je sais que nous avons laissé des amis et de la famille. (hh/) Mais on ne peut pas oublier ceux qui ont atteint le bateau ! Notre mission, c'est de rester ici... et de nous battre pour que de plus en plus d'esclaves suivent le même chemin ! Quand on libère une âme de ses chaînes... (h/) c'est une partie de notre âme à tous qu'on libère.

Noémi	Tu as raison !

Miguel	Chaque frère qui est libre est une victoire ! On n'a pas été capturés, donc ne baissons pas les bras, continuons la lutte ! Il ne tient qu'à nous de rester invaincus. Mais pour ça, on ne peut pas rester ici sans rien dire. Je sais qu'aucun de vous ne veut redevenir esclave. Alors, courage, mes amis ! (hh\) (hh\)

Lorenza	Ecoutez-moi ! Tomas, les filles et moi... on est venus par ici quand l'hacienda a brûlé. Je crois... connaître un endroit que les Blancs ne trouveront pas, Miguel.

Miguel	Je vous le dis encore une fois... buvez de l'eau... et on reprend la route. Allez ! Le temps presse !

(BOUCLE 23 - 00:18:14:11)
		23

Général	Nous n'avons pas réussi à rattraper plus de dix esclaves, Nicolas. (hhh/) (soupire)

Nicolas	(hh/)

Adela	Seulement dix ?

Nicolas	(hhh\) (mts h/) Merci de nous les avoir ramenés, Général.

Général	(hhh/) Il n'y a pas de quoi. (h\)(hh/) Ca a tourné au désastre. (hh\) (hhh/) Je n'ai aucun mérite là-dedans. (hhh/) (mts) Personne n'a gagné. (mts) J'ai perdu... (mts) mon fils Alonso pendant la bataille.

Victoria	(hh\) Je suis désolée, Général.

Nicolas	(hh\)

Général	Il a été tué par l'un des hommes de Granados.

(BOUCLE 24 - 00:19:00:10)
		24

Nicolas	Tout a commencé quand ces fichus esclaves ont pris la fuite.

Général	(hh/) Nicolas... (hhh/) Ne laisse pas un tel crime impuni, s'il te plaît.

Nicolas	Je n'y comptais pas, Fidel. (mts h/)  Je vous assure que le châtiment que je leur prépare sera exemplaire... (mts hh/) et il va leur rappeler qu'ils ne peuvent pas se croire supérieurs à nous. (mts h/) Les maîtres... (h/) c'est nous !

Général	Je vais prendre congé. (hhh/) (h\) (mts) Donia Adela... je vous laisse. (hhh/) Marquise...

Victoria	(h\) (mts) Je vous raccompagne.

Adela	(hh\)

Nicolas	(mts hh/) (hhh\) (hh/) (soupire)

(BOUCLE 25 - 00:19:53:22)
		25

Nicolas	(hh/) A cause de votre bêtise... je vais perdre de l'argent. (h/) Mais c'est vous... qui allez le payer de votre sang. (h/) Vous n'êtes qu'une bande de traîtres ! (h/ hhh\) Des chiens ingrats et ignorants... qui mordent la main de quiconque leur donne le gîte... le couvert, et du travail.

Tomas	Un travail dont vous êtes le seul à tirer des bénéfices.

Nicolas	(mts h/) Tu aimerais qu'il en soit autrement, Tomas ?

Tomas	Oui, monsieur. (hh/) J'aimerais bien. Il y a des endroits où ça a changé. Pourquoi pas ici ?

Nicolas	Parce qu'ici... on est dans une région du monde... où la loi n'a pas changé. Le fruit de ton travail m'appartient... aussi bien que toi ! (h/) Et tous autant que vous êtes, vous devriez vous estimer heureux... (h/) de pouvoir remplir le rôle pour lequel vous êtes nés.

Tomas	Non ! (h\ hh/) Les Noirs ne sont pas nés pour être esclaves !

(BOUCLE 26 - 00:20:47:22)
		26

Victoria	(h/) Assez ! (hh/) Je ne te permets pas de parler ainsi. (hh/) (h/) Nicolas... (hh/) il faut garder nos propriétés. (hh/ hh\ hh/ h\) C'est mauvais pour tout le monde. (h/) Les châtiments que tu infliges aux esclaves... (h/) les rendent incapables de travailler. (h/) On doit retourner sans attendre à la normale !

Nicolas	Ce ne sera pas réglé...

Général	(mts h/)

Nicolas	(mts h/) tant qu'on ne saura pas par où ils sont passés... (mts h/) et qui est leur meneur... Vous pensiez profiter de mon état... (mts h/) pour tenter de bafouer mon autorité... (h/) et me mener à ma perte ? (h\) Vous ne pouvez pas agir au gré de vos envies ! Vous avez compris ? Emmenez-les aux baraques ! Et attachez-les !

(BOUCLE 27 - 00:21:29:12)
		27

Tomas	Ca ne sert à rien de les punir. C'était moi, le leader. J'ai planifié notre fuite... c'est entièrement de ma faute.

Nicolas	Donc Tomas... (hh/) attachez-le tout seul.

Victoria	(h\ h/) Nicolas... qu'est-ce que tu penses lui faire ? (hh/) Le battre dans l'état où il est ? (h/) Tu vas le tuer à coup sûr !

Nicolas	Je veux soumettre tous les esclaves et briser leur volonté !

Victoria	(hh/)

Nicolas	(hh/) J'ai d'autres projets pour Tomas.

Tomas	(hhh/) (h\)

Victoria	Dis-moi ce que tu vas lui faire. (hh/) Regarde-le ! (h\ h/ h\ h/) C'est... un simple forgeron, et... en plus... il est vieux...

Nicolas	Lucia, je ne vais pas parler de ça avec toi. Rentre dans la maison. (hh/) Toi aussi, Mère ! Remedios !

(BOUCLE 28 - 00:22:20:06)
		28

Nicolas	Emmenez-les aux baraques !

Général	Emmenez-les !

Garde3	En marche !

Garde4	On y va !

Nicolas	Général, merci de m'aider à rétablir l'ordre et la loi sur mes terres. (hh/) Comme vous le savez, je n'ai plus de contremaîtres pour s'en charger.

Général	Tant que tu ne les auras pas récupérés, mes hommes sont à ta disposition. En marche !

Victoria	(h/) Nicolas... (h/) tu crois vraiment qu'il est derrière tout ça ?

Nicolas	(soupire)

Garde4	Avance !

Victoria	Regarde-le !

Nicolas	Lucia,  tu sais déjà ce que j'en pense.

Victoria	(hh/) Mais tu ne peux pas...

Nicolas	Dans la maison !

Général	En marche !

(BOUCLE 29 - 00:22:48:16)
		29

Victoria	(hh\) (h/ h\ hh/)

Remedios	Victoria... (h/) il ne faut pas aller là-bas : tu verrais ton père souffrir, tu pourrais te trahir.

