Time stamp	4.00pm
Kai	Oh Fuck!!

Kai	Ok thanks

Fah	Sorry

Fah	Oh my gosh that's a lot of blood

Fah	Are you ready?

Fah	Ok this is going to hurt

Kai	Why did you come back

Fah	Sorry

Fah	I had a chance to correct the wrong that I did

Fah	So I made a choice

Fah	You said we live with the consequences of our own choice

Fah	I made a bad one before

Kai	You didn't have a choice

Kai	I know that know

Kai	Ouch

Fah	Ok

Fah	They gave me 2million baht and this car

Fah	They told me to say I wasn't the one who was driving

Fah	That our car hit the other car

Fah	If I didn't take the offer

Fah	I believe that they were probaly going to kill me

Kai	Yes

Kai	They would have

Fah	I spent most of my money on my brother

Fah	Paid in advance for his hospital expenses

Fah	There's not much left now

Fah	Well turn around you have one more to go

Fah	Oh

Fah	This is going to hurt more

Fah	Great, last one, take a deep breathe

Kai	Thank you

Fah	It's going to leave a big scar

Kai	It's ok

Kai	It's a good reminder

Fah	Of what, tonight?

Kai	Of you

Kai	Jack of all trades

Fah	I actually have one more reason why I came back

Fah	I started driving 2 years ago

Fah	Before this I used to work in hotels and restaurants

Fah	I meet a lot of foreigners everywhere I work

Fah 	All the foreigners they see me, they like me, they offered money for me to sleep with them

Fah	But I'd never take it

Fah	You understand?

Fah	You're the first man that I've met in my life that showed me respect

Fah	Who actually gave me respect for what I do

Fah	My work

Fah	Not for what I look like

Fah	That's why I came back

Kai	That's the nicest thing anyone has said to me since my wife

Fah	It's the truth

Kai	makes it nicer

Kai	Stay here

Kai	Hold this

Kai	It's 4000 dollars cash in this bag It's yours

Kai	Do you know Bitcoin?

Kai	BIT COIN

Fah	Yeah, I think so

Kai	You know it's money?

Fah	Like electronic money

Fah	I read something online, but I'm not sure

Kai	Ok, it's not hard to find out about

Kai	Inside that bag is a hard drive

Kai	My life savings

Kai	One million, three hundred and eighty nine dollars

Kai	It's yours

Fah/Kai	No, no, no, no, I can't take that no, no, no listen to me no listen to me

Kai	I converted to Bitcoin

Kai	I don't know what else to do

Kai	I was thinking maybe, I could donate it to charity afterwards but there is no afterwards for me

Fah 	What do you mean?

Kai	I mean the last guy is different from the others

Kai	He's much more dangerous

Kai	Much smarter

Kai	Better guarded

Fah	So you think you cannot win?

Kai	It was never about winning for me

Kai	Even if I survive

Kai	I'll go to prison

Kai	I should go to prison

Kai	But I can't go there, you understand

Fah	Yeah I understand

Kai	So you must take this

Kai	Because if you take this

Kai	You win

Kai	And If you win

Kai	I win

Kai	You take your brother and you get some passports

Kai	And you take him to some country that doesn't speak Thai if that's what you really want

Kai	Ok

Fah	Ok

Fah	Thank you

Kai	You're welcome

Fah	Who is this man

Kai	He's japanese

Fah	Like Yakuza?

Kai	No

Kai	But he works with them

Kai	He works with anyone who can pay his price

Kai	Which is

Kai	Very high

Fah	To do what

Kai	To solve problems

Fah	Like?

Kai	Like If you kill someone and you need to get rid of the body

Kai	If you get arrested for drunk driving, killing a family

Kai	He can fix it

Fah	He's a really bad man then?

Kai	One of the worst

Kai	A type of person who can do a lot of bad things and not get dirty For it	

Fah	Well you seem to know a lot about him

Kai	I hired him

Fah	What?

Kai	He arranged everything for me

Kai	The bag, the gun, the phone, everything

Fah	Oh, you're really smart Mr Kai

Fah	Don't go Make a choice	

Fah	Take me and my brother to Hawaii

Fah	We can go fishing

Kai	That would be nice

Kai	Fishing with you

Kai	And your brother

Kai	Good luck

Kai	Khun Fah

Kai	Hey!

Kai	Hey, you mother fucker

Kai	You got all these guys fighting for you, you can't do it yourself

Kai 	Ha tough guy

Kai	Tough guy

Kai	Ha you fucker Come out		

