EM FAMILIA VO TCI EP 73-H264
21/04/2016

(BOUCLE 1 - 10:00:00:00)
		01

FELIPE	Le père de Bia... c'est Fernando.
LUISA	(h) Mais arrête de me suivre, Laerté ! Maintenant ça suffit ! Si ma voiture a une seule égratignure, je te le pardonnerai pas.

LUISA	D'ailleurs, le mariage approche et je veux plus me marier. Alors bon vent à toi !

LAERTE	(ah) Et tu penses que tu peux me laisser tomber comme si j'étais un de tes copains de fac ?

LUISA	(ah) Tu parles d'André ? Tu parles d'André Laerté ? Parce que je regrette ! Oui, je regrette André ! Lui c'était un homme vrai tu vois, un homme de caractère et de foi.

LAERTE	(euh)

LAERTE	(h)

LAERTE	Qu'est-ce que tu as dit ? Retire-ça, tout de suite, Luisa.

LAERTE	(h) Je vais te rattraper (h) et je vais te faire retirer ce que tu viens de dire. Tu m'ente...

HELENA	(oh)

(BOUCLE 26 - 10:18:56:10)
		26

AMBIANCE	(ambiance VI_______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________)

MARINA	Non, écoutez, je crois que la cérémonie devrait se dérouler ici, au coeur du centre culturel. C'est bien plus spacieux et plus joli. Il y aura de l'émotion je trouve, tu comprends. On sera au milieu et tout le monde autour. (h) Et on fera une belle entrée. Qu'est-ce que tu en dis ?

CLARA	Je crois que ce sera in__croyable ! Salut les filles !

VERONICA	Bonjour !

CLARA	(h________) Je crois je crois vraiment que cette idée géniale va contaminer les personnes qui seront présentes, du bonheur que l'on ressent.

MARINA	Salut ma chérie !

CLARA	(sourire)

MARINA	(X)

CLARA	(X)

MARINA	Ça te plaît chérie ?

VERONICA	(h) Mais avant que tu répondes, laisse-moi te dire que tu n'es pas au bout de tes surprises ma chère Clara !

CLARA	Veronica, je suis certaine que tout sera parfait. Je vous fais confiance. Jamais je (h) n'aurais cru être aussi excitée, mais je le suis bon sang ! Mon coeur... (h) Et je n'ai pas réussi à fermer l'oeil de la nuit.

VERONICA	(petit rire)

VERONICA	(ah___)

VERONICA	(rire_________)

MARINA	(ah) Moi aussi.

MARINA	(petit rire)

VANESSA	Et si tu prenais un médicament Clara ? Pour... t'aider un peu à dormir.

VANESSA	Parce qu'il___

VANESSA	faut te reposer un peu. Ce serait dommage que tu sois pas en forme demain.

CLARA	(ah) Vanessa, merci à toi mais tu sais, au fond j'ai l'esprit tellement (h) tellement tranquille et tellement lé__ger qu'un thé à la camomille je vais dormir comme un bébé. (mts) (h) Je n'aurais pas de cerne.

CLARA	(petit rire)

MARINA	Et cette boite ?

CLARA	(han______) Ce sont les essais du beau gâteau que va nous faire Celia !

MARINA	Quoi Celia ! T'as réussi à l'avoir ma pu____ce !

CLARA	(ah_____) Je suis allée le chercher pour le goûter.

(BOUCLE 27 - 10:20:01:21)
		27

BRANCA	(hh)

GABRIEL	Et ben, surprise ! C'est quoi ça ?

BRANCA	(ah_____) C'est un accord. Les statuts de notre société alors il faut que tu le signes ici et ici.

GABRIEL	Non, mais je croyais qu'avant on discuterait plus en détails des conditions. Des droits et des devoirs de chacun.

BRANCA	Gabriel, j'ai une montagne d'avocats entièrement à ma disposition, justement pour discuter de ces choses qui sont assez désagréables. (h) Mais surtout ne t'en fais pas. Tou____t ce que tu souhaites est là-dedans. En parfait accord avec tes désirs profonds.

BRANCA	(sourire)

GABRIEL	Oui, mais et moi ? En tant qu'associé j'ai les mêmes exigences.

BRANCA	Mon amour, tu vas pouvoir exercer ton métier enfin ! Mais moi, j'apporte cent pour cent de mon capital.

GABRIEL	J'apporte tout le savoir-faire, Branca. C'est ma spécialité.

BRANCA	Je sais_______, mais les affaires se font avec de l'argent et c'est tout___ (h) et ton emploi est entièrement préservé. Sois tranquille. Tu peux le lire.

GABRIEL	D'accord.

