FELIPE	(AFLITO) 
RUBENS	(REAC) Rosa. Eu... (REAC) Eu vim pessoalmente a pedido da Verônica. Os homens que mataram o seu marido, estão presos. 

ROSA	(REAC) 

RUBENS	Hmm 

ROSA	Meu Deus... (REAC) 

RUBENS	(RISO)

ROSA	Muito obrigada, promotor.  

RUBENS	Não me agradeça, não me agradeça. É tudo culpa daquela ONG Xiita. 

ROSA	Ah, (RISO)

RUBENS	(RISOS) 

ROSA	(RISO EMOCIONADA) Ai, claro que é...

RUBENS	(REAC) 

ROSA	... Muito obrigada. (REAC) 

RUBENS	(RISO)    

ROSA	(REAC) 

MIGUEL	Ei, Gabi, eu vou te levar "pra" (para) ver o teu padrinho, você quer? O que você acha que ela tem, Dalva? 

DALVA	Não é melhor ligar pro doutor Rui? 

GABI	Boa tarde. 

MIGUEL	Vamos ver o Felipe. Eu sou o Miguel, amigo do Felipe. 

PONTOCOM	Eu sei, eu sei quem você é. 

MIGUEL	E você deve ser da Aruana? 

PONTOCOM	É, a gente tá sempre aqui. 

MIGUEL	É o Felipe. 

PONTOCOM	(RISO) Ela gosta dele, né? 

GABI	Sim, é o meu padrinho. 

FELIPE	(REAC) 

MIGUEL	Eu vou chamar um médico. 

PONTOCOM	Tá. 

FELIPE	(REAC) 

GABI	Oi.  

PONTOCOM	Felipe. 

FELIPE	(REAC) 

PONTOCOM	Tudo bom? Eu sou da Aruana. Eu estou aqui com você, tá? 

FELIPE	(REAC) 

PONTOCOM	Eu não vou deixar ninguém fazer nada com você. 

FELIPE	(REAC) 

PONTOCOM	Gabi, você sabia que eu tenho um gatinho que se chama Teobaldo? 

GABI	Sim.

PONTOCOM	Você gosta de, de gatinho? 

GABI	Sim. 

