294,BRITT,What do you got?,16,0.32
295,CHASKA,"I see hills ahead, lots of rocks for cover.",43,0.86
296,BRITT,How far?,8,0.16
297,CHASKA,Half a day.,11,0.22
298,TUCKER,It's a good place for an ambush.,32,0.64
299,BRITT,"Circle far around. They left anyone there, you come in behind him. We'll ride in the front door.",96,1.92
300,CHASKA,Got it.,7,0.14
301,BLADE,"Woah. Yeah, that's right, keep comin'. Another half a mile and I got you dead to rights.",88,1.76
302,CHASKA,Only on one of your good days.,30,0.6
303,BRITT,Let's go. Hiya! Hiya!,21,0.42
304,BLADE,I'm bleedin' out. Give me something to stop this bleeding.,58,1.16
305,CHASKA,You give me some answers now.,29,0.58
306,BLADE,"I was just restin', I'm heading to Oregon.",42,0.84
307,CHASKA,You're lyin'.,13,0.26
308,BLADE,"I'm not, it's the truth.",24,0.48
309,CHASKA,"""I got you dead to rights."" Hardly the words of a guy restin'. Now get that arm up. Real nice and easy, give me your iron. Slow.",128,2.56
310,CHASKA,Who are you?,12,0.24
311,BLADE,I'm just a lookout.,19,0.38
312,CHASKA,A lookout for who?,18,0.36
313,BLADE,"Indians, we're in Sioux territory.",34,0.68
314,BRITT,That sounds like a lot of trail dust to me.,43,0.86
315,BRITT,How about sneakin' some truth into those words of yours?,56,1.12
316,BRITT,"Ain't got a lot of patience, mister.",36,0.72
317,BRITT,"Now, how about you sing me a nice little song about everything you know?",72,1.44
318,BLADE,"I don't think so. Marshal, I don't sing.",40,0.8
319,BRITT,Really? Where's Jed Blake?,26,0.52
320,BLADE,He cut dirt yesterday. Headin' southwest.,41,0.82
321,BRITT,My son?,7,0.14
322,BLADE,He's fine last time I seen him.,31,0.62
323,BRITT,How many ridin' with him?,25,0.5
324,BLADE,Four. Maybe five.,17,0.34
325,BRITT,Why southwest? Mexico's south.,30,0.6
326,BLADE,I don't know.,13,0.26
327,CHASKA,Sioux territory.,16,0.32
328,BRITT,Now why the hell would he do that?,34,0.68
329,BLADE,Jed's gone loco. Crazy. All he talks about is huntin' you down.,63,1.26
330,BRITT,What do they call you?,22,0.44
331,BLADE,Blade.,6,0.12
332,BRITT,"Bound to be paper on a mean-lookin' nibbler like you. Tucker, toss down some rope. Chaska, tie his hands and drag his ass up the hill.",134,2.68
333,CHASKA,Get up.,7,0.14
334,BRITT,You didn't search him?,22,0.44
335,CHASKA,No. I didn't think you'd want to drag him along.,48,0.96
336,BRITT,You were right.,15,0.3
337,TUCKER,Your back was toward him. How'd you know he was gonna draw?,59,1.18
338,BRITT,The little glint in his eye said he knew better than me.,56,1.12
339,CHASKA,"Lots of hoof print, shod.",25,0.5
340,BRITT,These are our boys.,19,0.38
341,CHASKA,"Yep, day ahead.",15,0.3
342,TUCKER,You know this place?,20,0.4
343,BRITT,Crosses into Sioux territory.,29,0.58
344,TUCKER,I thought he was headed for Mexico.,35,0.7
345,BRITT,Guess he fooled us.,19,0.38
346,TUCKER,What about the Injuns?,22,0.44
347,BRITT,"Jed likes to play rough. Sioux on one side, us on the other.",60,1.2
348,TUCKER,"That's comfortin', considerin' we still got warriors behind us.",63,1.26
349,BRITT,"Let's get through this as fast as we can, we'll find a place to fight on the other side.",88,1.76
350,TUCKER,How long is it gonna take to cross?,35,0.7
351,CHASKA,Four hours.,11,0.22
352,BRITT,Hiya!,5,0.1
353,CHASKA,I'll ride ahead...,18,0.36
354,BRITT,"Okay, we'll see you tonight.",28,0.56
355,CASS,It is awful dry.,16,0.32
356,SILAS,There ain't no water anywhere.,30,0.6
357,JED,We'll get water just beyond them buttes.,40,0.8
358,SILAS,"Hey Jed, I gotta ask you. Why did we come this way?",51,1.02
359,JED,"Cat and mouse, Silas. Little bit of torture first.",50,1.0
360,CASS,What's the difference between killin' him now or killin' him later?,67,1.34
361,WILLIE,"You need to be nice to that kid, you need him alive.",52,1.04
362,JED,You're right. I want MacMasters to hate me as much as he can.,61,1.22
363,WILLIE,You need his pa.,16,0.32
364,JED,I do need his pa. To kill him.,30,0.6
365,CHAD,Hiya!,5,0.1
366,CHAD,Hiya!,5,0.1
367,WILLIE,Go get him!,11,0.22
368,TUCKER,"Injun smoke signals, and you wanna have a campfire?",51,1.02
369,BRITT,Gets cold at night.,19,0.38
370,TUCKER,You really trust that Injun friend on yours?,44,0.88
371,BRITT,With my life.,13,0.26
372,TUCKER,"I couldn't, I just couldn't.",28,0.56
373,BRITT,You ever hear of the Massacre Canyon battle?,44,0.88
374,TUCKER,Didn't pay any mind to it. Just a bunch of Injuns that killed each other.,73,1.46
375,BRITT,"Pawnee were on their summer buffalo hunt. Sioux war party of 1,500 attacked them. Killed over 150. Most were women and children, including Chaska's wife and son. You can bet the bank he hates 'em a hell of a lot more than you ever will.",236,4.72
376,JED,Anything?,9,0.18
377,CASS,"Yeah, I saw fire over there.",28,0.56
378,JED,MacMasters?,11,0.22
379,CASS,"No, Injuns. Heard a war yelp or two.",36,0.72
380,JED,They could pick up our trail.,29,0.58
381,JED,"We need to get outta here, Cass.",32,0.64
382,CASS,You can't get outta here any too soon for me.,45,0.9
383,JED,What y'all gawking at? Hey! Look at me. Why do you look guilty?,63,1.26
384,SILAS,Got a little explainin' to do.,30,0.6
385,JED,"Dammit! No! Dammit, boys! You had one job, one job!",51,1.02
386,CASS,"Jed, if you shoot that pistol, the Indians are gonna be all over us.",68,1.36
387,JED,"Who let him go, huh? Was it you, Silas? Huh?",44,0.88
388,SILAS,It wasn't me.,13,0.26
389,JED,"How about you, Willie?",22,0.44
